"User_input","STRINGdb ID","Species"
"Q4CSF5","XP_805056.1","Trypanosoma cruzi STRINGdb"
"Q4CSF7","XP_805060.1","Trypanosoma cruzi STRINGdb"
"Q4CSG1","XP_805064.1","Trypanosoma cruzi STRINGdb"
"Q4CSG4","XP_805067.1","Trypanosoma cruzi STRINGdb"
"Q4CSH2","XP_805075.1","Trypanosoma cruzi STRINGdb"
"Q4CSI1","XP_805084.1","Trypanosoma cruzi STRINGdb"
"Q4CSI4","XP_805089.1","Trypanosoma cruzi STRINGdb"
"Q4CSI5","XP_805090.1","Trypanosoma cruzi STRINGdb"
"Q4CSI6","XP_805088.1","Trypanosoma cruzi STRINGdb"
"Q4CSI7","XP_805087.1","Trypanosoma cruzi STRINGdb"
"Q4CSK5","XP_805108.1","Trypanosoma cruzi STRINGdb"
"Q4CSQ4","XP_805157.1","Trypanosoma cruzi STRINGdb"
"Q4CSQ8","XP_805161.1","Trypanosoma cruzi STRINGdb"
"Q4CSS1","XP_805176.1","Trypanosoma cruzi STRINGdb"
"Q4CSS2","XP_805175.1","Trypanosoma cruzi STRINGdb"
"Q4CSS3","XP_805174.1","Trypanosoma cruzi STRINGdb"
"Q4CST2","XP_805185.1","Trypanosoma cruzi STRINGdb"
