"User_input","STRINGdb ID","Species"
"Q4CPU9","Q4CPU9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPW4","Q4CPW4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPX0","Q4CPX0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPX1","Q4CPX1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPX8","Q4CPX8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPX9","Q4CPX9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPY0","Q4CPY0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPY7","Q4CPY7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPZ9","Q4CPZ9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ20","Q4CQ20","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ21","Q4CQ21","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ22","Q4CQ22","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ36","Q4CQ36","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ37","Q4CQ37","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ38","Q4CQ38","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ44","Q4CQ44","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ50","Q4CQ50","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ52","Q4CQ52","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ53","Q4CQ53","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ58","Q4CQ58","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ61","Q4CQ61","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ65","Q4CQ65","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ66","Q4CQ66","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ67","Q4CQ67","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ73","Q4CQ73","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ75","Q4CQ75","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ76","Q4CQ76","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ77","Q4CQ77","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ78","Q4CQ78","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ85","Q4CQ85","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ86","Q4CQ86","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQ97","Q4CQ97","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQB6","Q4CQB6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQB7","Q4CQB7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQB8","Q4CQB8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQC7","Q4CQC7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQC8","Q4CQC8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQC9","Q4CQC9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQD0","Q4CQD0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQD1","Q4CQD1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQD2","Q4CQD2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQD4","Q4CQD4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQD5","Q4CQD5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQG1","Q4CQG1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQG2","Q4CQG2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQG3","Q4CQG3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQG4","Q4CQG4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQG5","Q4CQG5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQG6","Q4CQG6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQI0","Q4CQI0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQK3","Q4CQK3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQK4","Q4CQK4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQK5","Q4CQK5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQL1","Q4CQL1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQL3","Q4CQL3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQL4","Q4CQL4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQM8","Q4CQM8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQN0","Q4CQN0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQN1","Q4CQN1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQN2","Q4CQN2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQP6","Q4CQP6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQP9","Q4CQP9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQQ0","Q4CQQ0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQQ8","Q4CQQ8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQR8","Q4CQR8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQS4","Q4CQS4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQT2","Q4CQT2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQT3","Q4CQT3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQT4","Q4CQT4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQU8","Q4CQU8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQV3","Q4CQV3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQV8","Q4CQV8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQV9","Q4CQV9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQW0","Q4CQW0","Trypanosoma cruzi strain CL Brener STRINGdb"
